,kdeğer,yerli,yabancı_g,yabancı_ç,yıl,sınıf,sınıf2
TUR_01T02,0.7560687526554309,0.2156423281305072,0.028910151326433015,0.05307565768749625,2005,2,tarım
TUR_03,0.9018608536952569,0.08053096692504463,0.017612328992000346,0.06290341328837973,2005,2,tarım
TUR_05T06,0.8365706649728006,0.132370721065024,0.03105932829893013,0.1653335325815239,2005,3,maden
TUR_07T08,0.3314655486579844,0.540404880980065,0.12813006793974174,0.08865954309161936,2005,3,maden
TUR_09,0.2139584945200424,0.6831764901093953,0.1028657905827363,0.009964995740813531,2005,3,maden
TUR_10T12,0.29703961026111714,0.6519461354222775,0.05295096932817839,0.09092240542226561,2005,1,imalat
TUR_13T15,0.40506803810793796,0.5076916105985466,0.08738461986702253,0.29227273036976137,2005,1,imalat
TUR_16,0.3019203396476678,0.5780460041740046,0.12005274583889709,0.0735552302457351,2005,1,imalat
TUR_17T18,0.35936743825506906,0.5183622536118218,0.12227892728144123,0.07372779382054465,2005,1,imalat
TUR_19,0.2440192130758278,0.3067453755814169,0.4492514302284888,0.1827545330862816,2005,1,imalat
TUR_20,0.3929087666807303,0.4487133913606529,0.15843634607668147,0.15951218651892943,2005,1,imalat
TUR_21,0.63867343563009,0.2744332044992407,0.08696010977781904,0.11950964384947885,2005,1,imalat
TUR_22,0.21976976676047194,0.5582237506173134,0.2220360434194153,0.17026064207037617,2005,1,imalat
TUR_23,0.39155883908416717,0.5245953786579097,0.08384711652534005,0.09819495354454034,2005,1,imalat
TUR_24,0.18257796210608868,0.6683744883475033,0.14904772355868617,0.22839265234408246,2005,1,imalat
TUR_25,0.3043664754514377,0.5283935560624358,0.1672404282789488,0.16490512974317667,2005,1,imalat
TUR_26,0.5723280248564085,0.24855820440035664,0.17911389422345272,0.3792559002762129,2005,1,imalat
TUR_27,0.23880127146296848,0.5523001981235901,0.2088988325731106,0.24171264469869194,2005,1,imalat
TUR_28,0.2686241362875727,0.5452209256420433,0.1861568527459587,0.23458273965940832,2005,1,imalat
TUR_29,0.33149748160623477,0.47240232531883314,0.19610043016869763,0.4750063353954318,2005,1,imalat
TUR_30,0.5646938828748473,0.3042220557302711,0.13108419866105472,0.3184742963458977,2005,1,imalat
TUR_31T33,0.2953665933833039,0.5596520542173705,0.1449834219963394,0.12702469707724,2005,1,imalat
TUR_35,0.15385254185837965,0.7427083962970751,0.1034391431239882,0.006858592974026117,2005,4,ins_en_ç
TUR_36T39,0.3940805899423429,0.5495334631446437,0.05638675521930728,0.004991256911059839,2005,4,ins_en_ç
TUR_41T43,0.2954606922354189,0.614554514133466,0.08998693019008985,0.0027907179551857407,2005,4,ins_en_ç
TUR_45T47,0.6836975268182135,0.2916564733436155,0.024655595844067114,0.12096102156762635,2005,5,hizm
TUR_49,0.6364581488962414,0.29934911317116725,0.0641931245049653,0.10721371408168708,2005,5,hizm
TUR_50,0.7413281076912906,0.20438755574464057,0.054300059026726605,0.22906259976989288,2005,5,hizm
TUR_51,0.16867630399836903,0.65732753331917,0.17400029510298554,0.5424262250675338,2005,5,hizm
TUR_52,0.5421466753773487,0.407682892844322,0.050172560106810794,0.14188210101783802,2005,5,hizm
TUR_53,0.45470888479431554,0.5042478756462544,0.04104382977922771,0.0630444172650766,2005,5,hizm
TUR_55T56,0.411739639558118,0.5459962847068709,0.04277925243721179,0.2176612353180886,2005,5,hizm
TUR_58T60,0.38828467418091783,0.5443707273871232,0.0673450233574409,0.07640430006661039,2005,5,hizm
TUR_61,0.8471500498391115,0.1368729659905663,0.015977127474788137,0.035607015772795673,2005,5,hizm
TUR_62T63,0.3842229052034629,0.536007421317065,0.0797722917273688,0.06361504688038197,2005,5,hizm
TUR_64T66,0.5520611974799033,0.400024831392229,0.04791488104713223,0.05491902877945853,2005,5,hizm
TUR_68,0.8162806423325236,0.1633947969502212,0.020326372035686917,0.02839644339778858,2005,5,hizm
TUR_69T75,0.44831614924698,0.4897458074199323,0.061957603393875786,0.017507961058017045,2005,5,hizm
TUR_77T82,0.5039785263530244,0.42425643394162227,0.07179055012814152,0.04697710009853947,2005,5,hizm
TUR_84,0.6728433574764975,0.2829951442515662,0.04422923215823524,0.003697830637859891,2005,5,hizm
TUR_85,0.6919410510247144,0.28451729780460394,0.02355449385142544,0.01320970636566753,2005,5,hizm
TUR_86T88,0.5475526865442774,0.4072610885401921,0.04521810843436206,0.0121615169226405,2005,5,hizm
TUR_90T93,0.32177365623109105,0.6384850403412748,0.03975295475494176,0.23935061388065043,2005,5,hizm
TUR_94T96,0.47952939333792804,0.4759891928620902,0.044487417225026506,0.029647859067823405,2005,5,hizm
TUR_97T98,1.0,0.0,0.0,0.0,2005,5,hizm
TUR_01T02,0.6704330809514696,0.28512398260484756,0.044810610261295,0.05460744719222589,2006,2,tarım
TUR_03,0.8022643044932112,0.16281845526071398,0.03492086469404383,0.06773339810630263,2006,2,tarım
TUR_05T06,0.7134311027603379,0.22693343735662658,0.059636105866153415,0.21860020796967955,2006,3,maden
